ta_id,food,service,value,atmosphere,tr_rating_5,tr_rating_4,tr_rating_3,tr_rating_2,tr_rating_1,tr_ratings,profitrew,ratings_summary,ball
d13172414,50.0,50.0,50.0,50.0,58.0,17.0,2.0,2.0,0.0,79.0,94.9367088607595,3.75,4.75
d12911907,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,33.33333333333333,0.0,1.75
d3322305,35.0,35.0,35.0,40.0,46.0,27.0,4.0,3.0,12.0,92.0,79.34782608695652,3.5,4.0
d7805333,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
d6432242,40.0,50.0,40.0,45.0,17.0,10.0,2.0,0.0,1.0,30.0,90.0,4.5,4.5
d2478316,40.0,40.0,40.0,40.0,38.0,40.0,7.0,8.0,3.0,96.0,81.25,4.0,4.0
d4600249,35.0,35.0,35.0,35.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,2.5,2.5
d696117,45.0,45.0,45.0,45.0,1105.0,317.0,85.0,28.0,17.0,1552.0,91.62371134020619,4.5,4.5
d2176100,35.0,30.0,25.0,30.0,7.0,7.0,5.0,4.0,3.0,26.0,53.84615384615385,3.0,2.75
d3345223,30.0,30.0,30.0,25.0,2.0,4.0,6.0,0.0,4.0,16.0,37.5,3.0,2.0
d7361724,45.0,45.0,40.0,45.0,10.0,1.0,0.0,0.0,0.0,11.0,100.0,4.5,5.0
d5532357,45.0,45.0,45.0,45.0,2.0,3.0,1.0,0.0,0.0,6.0,83.33333333333334,3.5,4.25
d1359957,35.0,40.0,35.0,35.0,9.0,19.0,9.0,8.0,15.0,60.0,46.666666666666664,3.5,2.25
d2589168,40.0,35.0,40.0,35.0,3.0,2.0,0.0,0.0,2.0,7.0,71.42857142857143,3.75,3.5
d10027275,45.0,45.0,45.0,45.0,4.0,1.0,0.0,0.0,0.0,5.0,100.0,3.5,5.0
d1125197,35.0,35.0,35.0,40.0,1.0,7.0,1.0,0.0,0.0,9.0,88.88888888888889,3.5,4.5
d9459585,45.0,45.0,45.0,45.0,529.0,144.0,27.0,18.0,6.0,724.0,92.95580110497238,3.5,4.75
d5599563,50.0,45.0,45.0,40.0,9.0,2.0,2.0,1.0,0.0,14.0,78.57142857142857,4.5,4.0
d7623654,45.0,45.0,45.0,45.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,3.5,5.0
d2632522,40.0,45.0,40.0,45.0,6.0,4.0,3.0,1.0,0.0,14.0,71.42857142857143,3.0,3.5
d7332678,35.0,35.0,30.0,35.0,6.0,4.0,2.0,4.0,2.0,18.0,55.55555555555556,2.5,2.75
d10485816,45.0,45.0,40.0,45.0,11.0,2.0,2.0,0.0,0.0,15.0,86.66666666666667,3.25,4.25
d11688138,25.0,25.0,20.0,25.0,5.0,5.0,13.0,5.0,37.0,65.0,15.384615384615385,1.75,0.75
d5943832,35.0,35.0,35.0,35.0,130.0,150.0,78.0,51.0,102.0,511.0,54.794520547945204,3.5,2.75
d4768085,25.0,25.0,30.0,30.0,1.0,0.0,3.0,2.0,4.0,10.0,10.0,2.0,0.5
d2255569,45.0,40.0,40.0,45.0,15.0,6.0,2.0,0.0,0.0,23.0,91.30434782608695,4.25,4.5
d4597916,40.0,40.0,45.0,45.0,3.0,8.0,0.0,0.0,0.0,11.0,100.0,3.0,5.0
d7916036,40.0,45.0,35.0,40.0,12.0,5.0,0.0,0.0,1.0,18.0,94.44444444444444,3.0,4.75
d12350248,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,75.0,0.0,3.75
d1109944,40.0,35.0,25.0,30.0,18.0,13.0,2.0,2.0,4.0,39.0,79.48717948717949,3.25,4.0
d13197631,50.0,50.0,45.0,50.0,17.0,6.0,0.0,1.0,1.0,25.0,92.0,3.5,4.5
d918784,40.0,40.0,40.0,40.0,25.0,24.0,9.0,9.0,1.0,68.0,72.05882352941177,3.0,3.5
d8772965,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,66.66666666666666,0.0,3.25
d1324029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d6632829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d11667577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d12243659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d2445499,30.0,30.0,35.0,35.0,1.0,2.0,0.0,1.0,0.0,4.0,75.0,2.5,3.75
d2577881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d11951657,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,9.0,77.77777777777779,0.0,4.0
d751711,45.0,40.0,40.0,40.0,425.0,320.0,70.0,17.0,10.0,842.0,88.47980997624703,4.0,4.5
d3902868,35.0,35.0,40.0,35.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,3.5,2.5
d5487718,45.0,40.0,40.0,40.0,5.0,4.0,0.0,0.0,0.0,9.0,100.0,4.0,5.0
d7995801,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,50.0,0.0,2.5
d1331796,45.0,35.0,50.0,30.0,2.0,6.0,1.0,1.0,1.0,11.0,72.72727272727273,4.0,3.75
d8536895,40.0,35.0,35.0,40.0,4.0,2.0,2.0,1.0,0.0,9.0,66.66666666666666,2.75,3.25
d1328183,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d10392913,40.0,35.0,30.0,35.0,13.0,10.0,1.0,2.0,4.0,30.0,76.66666666666667,2.5,3.75
d1097475,35.0,35.0,35.0,30.0,10.0,11.0,8.0,3.0,5.0,37.0,56.75675675675676,3.5,2.75
d7967318,40.0,35.0,40.0,40.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,3.0,5.0
d797737,40.0,40.0,35.0,45.0,57.0,34.0,11.0,7.0,2.0,111.0,81.98198198198197,4.0,4.0
d2226584,35.0,35.0,30.0,30.0,5.0,2.0,4.0,2.0,3.0,16.0,43.75,3.25,2.25
d13174390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4052905,40.0,40.0,40.0,35.0,184.0,114.0,48.0,36.0,36.0,418.0,71.29186602870813,4.0,3.5
d5504724,35.0,35.0,35.0,35.0,112.0,101.0,30.0,20.0,16.0,279.0,76.34408602150538,3.5,3.75
d12681857,35.0,35.0,40.0,40.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,2.75,5.0
d7241440,30.0,30.0,30.0,35.0,143.0,36.0,29.0,30.0,46.0,284.0,63.02816901408451,3.0,3.25
d13094972,40.0,30.0,30.0,35.0,4.0,0.0,1.0,1.0,0.0,6.0,66.66666666666666,2.5,3.25
d5442784,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,1.0,15.0,80.0,0.0,4.0
d4942642,45.0,40.0,45.0,45.0,4.0,1.0,0.0,0.0,0.0,5.0,100.0,3.25,5.0
d2524119,45.0,45.0,45.0,45.0,22.0,12.0,1.0,0.0,1.0,36.0,94.44444444444444,4.5,4.75
d4770241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d8797372,45.0,45.0,40.0,45.0,83.0,25.0,6.0,6.0,4.0,124.0,87.09677419354838,3.25,4.25
d1496204,45.0,45.0,40.0,45.0,35.0,32.0,4.0,2.0,0.0,73.0,91.78082191780823,4.5,4.5
d11754798,35.0,40.0,35.0,40.0,0.0,2.0,0.0,0.0,1.0,3.0,66.66666666666666,2.75,3.25
d4085056,50.0,45.0,45.0,45.0,10.0,4.0,0.0,0.0,0.0,14.0,100.0,4.5,5.0
d12867794,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,13.0,100.0,0.0,5.0
d779921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8118086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2321047,40.0,40.0,35.0,35.0,3.0,5.0,1.0,0.0,0.0,9.0,88.88888888888889,3.75,4.5
d7994738,20.0,25.0,25.0,25.0,13.0,11.0,4.0,3.0,15.0,46.0,52.17391304347826,1.75,2.5
d10226097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3612769,45.0,40.0,40.0,30.0,5.0,1.0,0.0,0.0,0.0,6.0,100.0,4.0,5.0
d697526,30.0,25.0,25.0,30.0,57.0,97.0,64.0,48.0,86.0,352.0,43.75,2.75,2.25
d10619071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4600226,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d10064175,45.0,45.0,40.0,45.0,75.0,9.0,1.0,2.0,1.0,88.0,95.45454545454545,3.25,4.75
d4476199,40.0,40.0,35.0,35.0,8.0,21.0,3.0,1.0,2.0,35.0,82.85714285714286,3.75,4.25
d9714837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d6403079,30.0,30.0,30.0,35.0,25.0,21.0,14.0,18.0,44.0,122.0,37.704918032786885,3.0,2.0
d5867903,45.0,50.0,45.0,50.0,6.0,2.0,1.0,0.0,0.0,9.0,88.88888888888889,3.5,4.5
d680500,35.0,30.0,35.0,30.0,263.0,485.0,229.0,147.0,262.0,1386.0,53.96825396825397,3.25,2.75
d12111665,40.0,45.0,40.0,45.0,24.0,5.0,1.0,0.0,0.0,30.0,96.66666666666667,3.0,4.75
d5058767,45.0,45.0,45.0,40.0,7.0,7.0,0.0,0.0,0.0,14.0,100.0,4.5,5.0
d12949592,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d13087286,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,14.0,92.85714285714286,0.0,4.75
d3671977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1341738,45.0,45.0,40.0,40.0,42.0,35.0,9.0,4.0,1.0,91.0,84.61538461538461,4.25,4.25
d12556149,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,5.0,80.0,0.0,4.0
d11999809,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d12710453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4093614,45.0,45.0,40.0,45.0,36.0,18.0,4.0,0.0,0.0,58.0,93.10344827586206,4.5,4.75
d11995686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
d694885,45.0,45.0,45.0,40.0,27.0,14.0,2.0,2.0,0.0,45.0,91.11111111111111,4.5,4.5
d2470800,45.0,45.0,45.0,40.0,142.0,44.0,5.0,5.0,4.0,200.0,93.0,4.5,4.75
d13284434,45.0,45.0,40.0,45.0,3.0,1.0,0.0,0.0,0.0,4.0,100.0,3.25,5.0
d13206789,50.0,45.0,40.0,45.0,15.0,5.0,2.0,3.0,0.0,25.0,80.0,3.5,4.0
d10336129,35.0,40.0,35.0,40.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,2.75,5.0
d4068550,40.0,40.0,35.0,40.0,38.0,25.0,11.0,7.0,6.0,87.0,72.41379310344827,4.0,3.5
d807906,40.0,40.0,40.0,35.0,17.0,27.0,16.0,3.0,1.0,64.0,68.75,4.0,3.5
d11998026,40.0,40.0,30.0,40.0,11.0,5.0,1.0,2.0,1.0,20.0,80.0,2.75,4.0
d11721387,45.0,45.0,45.0,45.0,44.0,5.0,0.0,0.0,1.0,50.0,98.0,3.5,5.0
d10498197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
d12441400,40.0,35.0,35.0,40.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,2.75,5.0
d2722599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d7949523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8734791,40.0,40.0,40.0,40.0,6.0,4.0,0.0,0.0,0.0,10.0,100.0,3.0,5.0
d2328380,45.0,40.0,40.0,30.0,5.0,9.0,0.0,0.0,1.0,15.0,93.33333333333333,4.0,4.75
d12068247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d10520643,25.0,30.0,25.0,30.0,1.0,1.0,2.0,0.0,1.0,5.0,40.0,2.0,2.0
d8401717,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,7.0,71.42857142857143,0.0,3.5
d2424319,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d10677156,50.0,45.0,45.0,50.0,21.0,1.0,2.0,1.0,0.0,25.0,88.0,3.5,4.5
d9562461,40.0,45.0,40.0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,3.0,5.0
d5979704,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d13139218,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d7214349,40.0,40.0,35.0,35.0,17.0,4.0,1.0,1.0,3.0,26.0,80.76923076923077,3.75,4.0
d3193915,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
d3691545,45.0,45.0,40.0,40.0,26.0,5.0,2.0,1.0,0.0,34.0,91.17647058823529,4.25,4.5
d795702,40.0,45.0,40.0,35.0,113.0,59.0,17.0,8.0,6.0,203.0,84.72906403940887,4.0,4.25
d2697097,45.0,40.0,40.0,35.0,3.0,0.0,1.0,0.0,0.0,4.0,75.0,4.0,3.75
d8124300,45.0,45.0,40.0,45.0,442.0,154.0,41.0,7.0,5.0,649.0,91.83359013867488,3.25,4.5
d3316640,40.0,40.0,40.0,40.0,7.0,10.0,2.0,1.0,7.0,27.0,62.96296296296296,4.0,3.25
d13001826,40.0,30.0,40.0,40.0,8.0,1.0,0.0,1.0,0.0,10.0,90.0,2.75,4.5
d793183,45.0,40.0,35.0,40.0,459.0,268.0,95.0,62.0,77.0,961.0,75.65036420395421,4.0,3.75
d12181566,45.0,45.0,35.0,45.0,5.0,3.0,0.0,0.0,1.0,9.0,88.88888888888889,3.0,4.5
d10242690,40.0,45.0,40.0,45.0,12.0,3.0,5.0,1.0,1.0,22.0,68.18181818181817,3.0,3.5
d7243246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d733450,45.0,40.0,40.0,40.0,242.0,101.0,29.0,11.0,15.0,398.0,86.18090452261306,4.0,4.25
d4014123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d10735345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
d13198202,40.0,40.0,35.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,3.0,5.0
d5532050,40.0,40.0,40.0,40.0,22.0,8.0,8.0,3.0,2.0,43.0,69.76744186046511,3.0,3.5
d2085183,35.0,35.0,30.0,35.0,31.0,46.0,47.0,25.0,34.0,183.0,42.07650273224044,3.5,2.0
d6946964,40.0,40.0,45.0,45.0,11.0,2.0,0.0,0.0,1.0,14.0,92.85714285714286,3.0,4.75
d8661176,40.0,40.0,40.0,40.0,15.0,5.0,1.0,3.0,1.0,25.0,80.0,3.0,4.0
d8293300,35.0,35.0,35.0,35.0,3.0,4.0,4.0,2.0,1.0,14.0,50.0,2.5,2.5
d3873744,45.0,40.0,40.0,40.0,28.0,17.0,4.0,0.0,0.0,49.0,91.83673469387756,4.0,4.5
d12667708,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,5.0
d5322631,40.0,40.0,40.0,40.0,24.0,18.0,2.0,4.0,4.0,52.0,80.76923076923077,4.0,4.0
d734267,40.0,40.0,40.0,35.0,22.0,20.0,8.0,7.0,6.0,63.0,66.66666666666666,4.0,3.25
d719805,40.0,35.0,35.0,35.0,3.0,5.0,6.0,1.0,0.0,15.0,53.333333333333336,3.5,2.75
d4185485,40.0,40.0,35.0,45.0,12.0,4.0,2.0,3.0,4.0,25.0,64.0,4.0,3.25
d3849968,40.0,40.0,40.0,40.0,0.0,3.0,1.0,0.0,0.0,4.0,75.0,3.0,3.75
d11903856,40.0,40.0,45.0,45.0,7.0,3.0,1.0,0.0,0.0,11.0,90.9090909090909,3.0,4.5
d8660001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
d4844610,45.0,40.0,40.0,45.0,5.0,5.0,0.0,1.0,0.0,11.0,90.9090909090909,3.0,4.5
d6519298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d11909263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d12999507,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
d12336001,45.0,0.0,50.0,35.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,2.5,5.0
d12254437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2188472,40.0,45.0,40.0,45.0,57.0,12.0,3.0,1.0,7.0,80.0,86.25,4.25,4.25
d1347837,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,15.0,100.0,0.0,5.0
d8261215,30.0,45.0,35.0,40.0,6.0,6.0,0.0,3.0,2.0,17.0,70.58823529411765,2.75,3.5
d9741389,40.0,45.0,40.0,45.0,11.0,3.0,4.0,0.0,2.0,20.0,70.0,3.0,3.5
d8319709,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,8.0,62.5,0.0,3.0
d12572658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
d12488103,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,13.0,100.0,0.0,5.0
d8857488,45.0,45.0,45.0,45.0,7.0,6.0,1.0,0.0,2.0,16.0,81.25,3.5,4.0
d4023512,40.0,40.0,40.0,40.0,62.0,37.0,15.0,6.0,2.0,122.0,81.14754098360656,4.0,4.0
d5264177,45.0,45.0,40.0,45.0,1.0,2.0,0.0,0.0,0.0,3.0,100.0,3.25,5.0
d1096951,20.0,20.0,15.0,25.0,6.0,17.0,13.0,18.0,59.0,113.0,20.353982300884958,2.0,1.0
