ta_id,tr_ratings,profitrew,ratings_summary,ball
d12667708,6.0,100.0,0.0,5.0
d5322631,52.0,80.76923076923076,4.0,4.0
d734267,63.0,66.66666666666666,4.0,3.25
d719805,15.0,53.33333333333334,3.5,2.75
d4185485,25.0,64.0,4.0,3.25
d3849968,4.0,75.0,3.0,3.75
d11903856,11.0,90.9090909090909,3.0,4.5
d8660001,2.0,100.0,0.0,5.0
d4844610,11.0,90.9090909090909,3.0,4.5
d6519298,0.0,0.0,0.0,0.0
d11909263,0.0,0.0,0.0,0.0
d12999507,3.0,100.0,0.0,5.0
d12336001,4.0,100.0,2.5,5.0
d12254437,0.0,0.0,0.0,0.0
d2188472,80.0,86.25,4.25,4.25
d1347837,15.0,100.0,0.0,5.0
d8261215,17.0,70.58823529411767,2.75,3.5
d9741389,20.0,70.0,3.0,3.5
d8319709,8.0,62.5,0.0,3.0
d12572658,1.0,100.0,0.0,5.0
d12488103,13.0,100.0,0.0,5.0
d8857488,16.0,81.25,3.5,4.0
d4023512,122.0,81.14754098360656,4.0,4.0
d5264177,3.0,100.0,3.25,5.0
d1096951,113.0,20.35398230088496,2.0,1.0
d4946996,1.0,100.0,0.0,5.0
d1388962,415.0,59.759036144578324,3.5,3.0
d696038,857.0,92.29871645274211,4.5,4.5
d10070252,0.0,0.0,0.0,0.0
d10072291,36.0,88.8888888888889,3.5,4.5
d4814839,5.0,100.0,2.5,5.0
d11914515,0.0,0.0,0.0,0.0
d12598141,7.0,100.0,3.5,5.0
d1877226,87.0,91.95402298850573,4.5,4.5
d6703191,0.0,0.0,0.0,0.0
d5822584,29.0,72.41379310344827,3.0,3.5
d3912269,3.0,66.66666666666666,0.0,3.25
d3393987,1.0,100.0,0.0,5.0
d8729508,0.0,0.0,0.0,0.0
d1074698,22.0,63.63636363636363,2.5,3.25
d1953294,69.0,91.30434782608695,4.0,4.5
d10385156,18.0,88.8888888888889,3.0,4.5
d2011853,64.0,53.125,3.0,2.75
d3181518,0.0,0.0,0.0,0.0
d4961398,73.0,75.34246575342465,4.25,3.75
d1324782,3.0,66.66666666666666,2.5,3.25
d4506544,8.0,75.0,4.0,3.75
d5949148,67.0,91.04477611940298,4.0,4.5
d6603135,519.0,94.79768786127168,4.5,4.75
d715001,2.0,50.0,0.0,2.5
d4093995,2.0,50.0,0.0,2.5
d7359557,1.0,100.0,3.5,5.0
d5796187,6.0,66.66666666666666,0.0,3.25
d8635738,8.0,62.5,0.0,3.0
d3191302,23.0,82.6086956521739,3.5,4.25
d7621848,1.0,100.0,3.0,5.0
d2524764,6.0,83.33333333333334,3.5,4.25
d13064730,0.0,0.0,0.0,0.0
d719718,363.0,82.09366391184572,4.25,4.0
d5795989,0.0,0.0,0.0,0.0
d3192609,35.0,77.14285714285717,4.0,3.75
d5976718,0.0,0.0,0.0,0.0
d804943,2.0,50.0,3.75,2.5
d941095,55.0,65.45454545454545,3.5,3.25
d4436498,19.0,84.21052631578947,4.0,4.25
d8339930,1.0,100.0,0.0,5.0
d12875225,102.0,63.725490196078425,3.0,3.25
d6278406,4.0,50.0,0.0,2.5
d10039662,4.0,100.0,0.0,5.0
d811284,57.0,50.877192982456144,3.75,2.5
d5414878,134.0,65.67164179104478,3.5,3.25
d1035596,3.0,66.66666666666666,3.0,3.25
d953657,183.0,78.68852459016394,4.0,4.0
d12512228,17.0,76.47058823529412,3.5,3.75
d6206971,110.0,80.0,4.5,4.0
d3729391,0.0,0.0,0.0,0.0
d3970522,139.0,89.92805755395683,4.5,4.5
d10230660,12.0,91.66666666666666,3.5,4.5
d9984284,0.0,0.0,0.0,0.0
d785995,133.0,92.48120300751879,4.5,4.5
d4182633,10.0,60.0,4.0,3.0
d3405673,69.0,26.08695652173913,3.0,1.25
d10383695,4.0,50.0,2.0,2.5
d1489269,58.0,74.13793103448276,4.5,3.75
d1340332,40.0,90.0,3.75,4.5
d7146900,0.0,0.0,0.0,0.0
d2098938,13.0,53.846153846153854,3.5,2.75
d10533412,6.0,66.66666666666666,0.0,3.25
d10354665,11.0,100.0,0.0,5.0
d803842,11.0,72.72727272727273,4.0,3.75
d2477240,16.0,87.5,4.0,4.5
d1080720,257.0,73.54085603112841,3.75,3.75
d4293803,1.0,100.0,0.0,5.0
d780673,48.0,72.91666666666666,4.0,3.75
d4727188,4.0,100.0,2.5,5.0
d1103441,1.0,0.0,3.0,0.0
d1901926,6.0,50.0,0.0,2.5
d718909,11.0,45.45454545454545,2.0,2.25
d12423010,179.0,91.62011173184358,3.5,4.5
d13162505,9.0,100.0,3.0,5.0
d5872756,221.0,88.68778280542986,4.25,4.5
d3537392,23.0,95.65217391304348,4.25,4.75
d8599829,310.0,84.83870967741936,3.25,4.25
d12310002,9.0,66.66666666666666,0.0,3.25
d4585716,1.0,100.0,3.5,5.0
d10760580,5.0,40.0,0.0,2.0
d11888740,5.0,40.0,3.0,2.0
d8841562,13.0,76.92307692307693,3.0,3.75
d1039687,18.0,83.33333333333334,4.25,4.25
d2096546,9.0,77.7777777777778,4.25,4.0
d7734583,0.0,0.0,0.0,0.0
d6883153,17.0,82.35294117647058,2.75,4.0
d6672773,67.0,80.59701492537313,3.0,4.0
d6949479,0.0,0.0,0.0,0.0
d4211999,52.0,61.53846153846154,3.75,3.0
d4556019,1.0,100.0,0.0,5.0
d12049003,1.0,100.0,0.0,5.0
d12538734,0.0,0.0,0.0,0.0
d4930739,15.0,93.33333333333331,3.75,4.75
d10678700,1.0,100.0,3.0,5.0
d4697825,13.0,100.0,4.5,5.0
d944247,37.0,67.56756756756756,3.5,3.5
d695083,46.0,89.13043478260867,4.0,4.5
d4098079,2.0,100.0,3.5,5.0
d10395526,32.0,93.75,3.5,4.75
d789885,11.0,72.72727272727273,3.5,3.75
d4770088,3.0,66.66666666666666,0.0,3.25
d10331391,13.0,76.92307692307693,3.0,3.75
d1774775,151.0,83.44370860927151,4.0,4.25
d2323613,41.0,92.6829268292683,4.0,4.75
d12995806,10.0,90.0,3.25,4.5
d4748988,16.0,87.5,3.5,4.5
d3735127,1.0,100.0,3.5,5.0
d4591733,6.0,83.33333333333334,4.0,4.25
d813285,1378.0,85.41364296081278,4.25,4.25
d6868018,3.0,100.0,3.5,5.0
d3242259,18.0,33.33333333333333,3.5,1.75
d6698437,5.0,100.0,3.0,5.0
d8736586,2.0,50.0,0.0,2.5
d1507237,258.0,53.48837209302325,3.5,2.75
d12384552,4.0,100.0,0.0,5.0
d3179035,13.0,30.76923076923077,1.5,1.5
d1545969,2229.0,91.34140870345446,4.5,4.5
d1385082,101.0,64.35643564356435,3.5,3.25
d12081682,4.0,100.0,0.0,5.0
d779071,831.0,71.84115523465705,3.75,3.5
d5536153,14.0,92.85714285714286,3.75,4.75
d8415205,92.0,82.6086956521739,3.0,4.25
d1965515,2.0,50.0,4.25,2.5
d1231908,44.0,86.36363636363636,4.0,4.25
d5122063,11.0,45.45454545454545,3.5,2.25
d2320137,1.0,100.0,4.0,5.0
d1906552,229.0,70.3056768558952,4.0,3.5
d2484423,7.0,42.857142857142854,3.0,2.25
d7995957,65.0,10.769230769230768,2.0,0.5
d781928,108.0,84.25925925925925,4.0,4.25
d2204143,63.0,66.66666666666666,3.0,3.25
d10430050,17.0,47.058823529411754,2.0,2.25
d4268309,33.0,63.63636363636363,2.25,3.25
d5869951,4.0,25.0,0.0,1.25
d7730921,4.0,100.0,0.0,5.0
d1488977,483.0,89.23395445134575,4.0,4.5
d10724032,1.0,100.0,0.0,5.0
d3773630,5.0,100.0,3.75,5.0
d4769401,4.0,75.0,3.25,3.75
d12997561,64.0,78.125,2.5,4.0
d12170386,1.0,100.0,3.0,5.0
d798936,37.0,86.4864864864865,4.25,4.25
d3385038,39.0,82.05128205128204,3.0,4.0
d8602690,0.0,0.0,0.0,0.0
d8092415,17.0,70.58823529411767,3.0,3.5
d12359266,2.0,50.0,0.0,2.5
d3266560,1.0,100.0,4.0,5.0
d1874776,40.0,85.0,4.5,4.25
d12114896,1.0,100.0,0.0,5.0
d4133931,2.0,50.0,2.0,2.5
d5965027,40.0,92.5,3.5,4.5
d11923374,9.0,77.7777777777778,3.25,4.0
d1992130,221.0,54.75113122171947,3.5,2.75
d5865146,8.0,75.0,3.5,3.75
d1417391,4.0,100.0,4.0,5.0
d775579,41.0,90.24390243902441,4.0,4.5
d7336387,6.0,83.33333333333334,3.0,4.25
d7707930,5.0,100.0,4.5,5.0
d1820729,2.0,100.0,3.5,5.0
d3319308,16.0,75.0,4.0,3.75
d997803,6.0,50.0,0.0,2.5
d2625256,4.0,25.0,3.25,1.25
d959162,5.0,60.0,2.5,3.0
d12089348,240.0,91.66666666666666,3.5,4.5
d8591395,30.0,96.66666666666669,3.5,4.75
d9746677,58.0,84.48275862068967,3.0,4.25
d8774485,133.0,81.203007518797,2.75,4.0
d12548187,4.0,75.0,0.0,3.75
d743790,29.0,75.86206896551724,4.0,3.75
d11749991,7.0,71.42857142857143,0.0,3.5
d782237,100.0,91.0,4.25,4.5
d2494164,19.0,94.73684210526315,4.0,4.75
d12113037,4.0,100.0,3.25,5.0
d8362340,84.0,82.14285714285714,3.25,4.0
d2046169,2.0,100.0,4.0,5.0
d8125299,272.0,84.55882352941177,3.0,4.25
d6530816,11.0,72.72727272727273,2.5,3.75
d12321528,5.0,80.0,3.0,4.0
d4956063,4.0,50.0,4.0,2.5
d3547447,3.0,100.0,0.0,5.0
d4054080,2.0,0.0,0.0,0.0
d8339764,1.0,100.0,0.0,5.0
d5442851,3.0,100.0,0.0,5.0
d9456227,7.0,42.857142857142854,0.0,2.25
d780485,211.0,92.4170616113744,4.5,4.5
d6618276,37.0,72.97297297297297,4.0,3.75
d784491,129.0,87.5968992248062,4.25,4.5
d7097810,6.0,100.0,0.0,5.0
d7996902,1.0,0.0,0.0,0.0
d3567816,3.0,100.0,3.5,5.0
d1119896,510.0,52.941176470588246,3.5,2.75
d1354477,1.0,100.0,0.0,5.0
d3218566,1.0,100.0,4.5,5.0
d1519258,2.0,50.0,3.0,2.5
d10292470,56.0,82.14285714285714,3.5,4.0
d8381040,9.0,44.444444444444436,0.0,2.25
d8121703,151.0,93.3774834437086,3.5,4.75
d10840545,0.0,0.0,0.0,0.0
d3535931,24.0,58.33333333333334,3.5,3.0
d11958460,1.0,0.0,0.0,0.0
d719923,59.0,69.49152542372882,3.25,3.5
d2179945,34.0,67.64705882352942,3.5,3.5
d8073030,5.0,40.0,0.0,2.0
d8580982,7.0,71.42857142857143,2.75,3.5
d11666969,0.0,0.0,0.0,0.0
d7990468,3.0,66.66666666666666,4.5,3.25
d5936523,3.0,66.66666666666666,0.0,3.25
d12098434,2.0,100.0,0.0,5.0
d10814311,0.0,0.0,0.0,0.0
d1648922,505.0,79.40594059405942,4.0,4.0
d10079338,0.0,0.0,0.0,0.0
d733353,417.0,55.15587529976019,3.5,2.75
d720652,6.0,50.0,0.0,2.5
d1097059,9.0,55.555555555555564,2.25,2.75
d12842987,2.0,50.0,0.0,2.5
d1771808,423.0,66.43026004728132,3.75,3.25
d3327962,39.0,79.48717948717949,4.5,4.0
d1097463,51.0,88.23529411764706,4.0,4.5
d2490014,2.0,100.0,3.75,5.0
d5522488,32.0,65.625,3.5,3.25
d12945640,156.0,78.2051282051282,4.0,4.0
d10445344,3.0,100.0,3.75,5.0
d7092943,6.0,50.0,0.0,2.5
d13001385,7.0,71.42857142857143,3.0,3.5
d10288341,6.0,83.33333333333334,3.5,4.25
d10903502,31.0,87.09677419354837,3.25,4.25
d2208132,14.0,64.28571428571429,4.25,3.25
d779012,3416.0,55.415690866510545,3.5,2.75
d6780578,36.0,72.2222222222222,4.0,3.5
d1327268,9.0,66.66666666666666,3.5,3.25
d4593810,3.0,66.66666666666666,0.0,3.25
d12428801,8.0,87.5,0.0,4.5
d13226281,3.0,100.0,0.0,5.0
d2100338,12.0,41.66666666666667,3.0,2.0
d1360884,3.0,100.0,3.5,5.0
d4324827,45.0,84.44444444444444,3.5,4.25
d4156673,3.0,33.33333333333333,0.0,1.75
d12229735,1.0,100.0,0.0,5.0
d12481552,5.0,100.0,3.5,5.0
d5787627,0.0,0.0,0.0,0.0
d4781734,0.0,0.0,0.0,0.0
d7992689,1.0,0.0,0.0,0.0
d4769383,67.0,74.6268656716418,4.0,3.75
d4185793,2.0,50.0,2.25,2.5
d2361013,322.0,41.92546583850932,3.25,2.0
d1043805,2.0,100.0,0.0,5.0
d2517446,25.0,64.0,3.75,3.25
d3191953,75.0,68.0,3.75,3.5
d3478764,68.0,85.29411764705883,4.0,4.25
d10302492,6.0,100.0,3.0,5.0
d12630204,4.0,75.0,3.0,3.75
d1093837,2.0,50.0,0.0,2.5
d13109544,93.0,93.54838709677419,3.5,4.75
d2171461,71.0,87.32394366197181,4.5,4.25
d4129187,1.0,100.0,1.75,5.0
d783430,12.0,91.66666666666666,3.75,4.5
d2407506,4.0,100.0,0.0,5.0
d7908111,115.0,86.95652173913044,3.25,4.25
d8759915,3.0,100.0,0.0,5.0
d1208595,60.0,93.33333333333331,4.5,4.75
d904707,3.0,66.66666666666666,0.0,3.25
d7246537,1.0,100.0,0.0,5.0
d1884058,3858.0,88.38776568170036,4.0,4.5
d3709334,6.0,33.33333333333333,2.75,1.75
d6997989,4.0,100.0,3.0,5.0
d1204136,24.0,75.0,3.75,3.75
d7949496,5.0,100.0,0.0,5.0
d12611723,0.0,0.0,0.0,0.0
d4875736,6.0,33.33333333333333,3.0,1.75
d1125210,15.0,66.66666666666666,4.0,3.25
d10663723,29.0,79.3103448275862,3.25,4.0
d5262205,2.0,50.0,0.0,2.5
d10934512,0.0,0.0,0.0,0.0
d13152856,53.0,81.13207547169812,2.5,4.0
d5986180,0.0,0.0,0.0,0.0
d3365091,21.0,42.857142857142854,3.5,2.25
d2429057,5.0,80.0,0.0,4.0
d3681402,7.0,71.42857142857143,4.0,3.5
d4768018,2.0,100.0,2.5,5.0
d10901576,730.0,87.8082191780822,3.5,4.5
d10207856,0.0,0.0,0.0,0.0
d784495,16.0,62.5,3.5,3.0
d13138415,142.0,97.88732394366195,3.5,5.0
d6224819,1.0,100.0,0.0,5.0
d2199010,479.0,67.64091858037578,3.75,3.5
d5511542,3.0,66.66666666666666,0.0,3.25
d10524857,3.0,66.66666666666666,0.0,3.25
d6937518,44.0,59.09090909090909,4.25,3.0
d5478128,66.0,95.45454545454544,4.25,4.75
d5062863,16.0,81.25,3.25,4.0
d10676665,60.0,83.33333333333334,3.0,4.25
d11927391,6.0,66.66666666666666,3.25,3.25
d7274076,1.0,0.0,0.0,0.0
d3367014,1.0,100.0,0.0,5.0
d8757118,23.0,86.95652173913044,3.25,4.25
d7963942,88.0,64.77272727272727,3.25,3.25
d10479056,0.0,0.0,0.0,0.0
d7939547,0.0,0.0,0.0,0.0
d12033913,18.0,94.44444444444444,3.5,4.75
d2177437,23.0,91.30434782608695,3.75,4.5
d8262699,44.0,65.9090909090909,2.5,3.25
d5884421,4.0,75.0,0.0,3.75
d6452357,197.0,92.38578680203042,4.5,4.5
d8552830,45.0,62.22222222222222,2.5,3.0
d11783344,10.0,20.0,0.0,1.0
d1382840,35.0,11.428571428571427,1.75,0.5
d8108982,4.0,100.0,3.5,5.0
d8788057,8.0,100.0,3.5,5.0
d2402689,18.0,83.33333333333334,3.75,4.25
d10444782,12.0,33.33333333333333,2.5,1.75
d5981133,8.0,75.0,4.0,3.75
d12061819,8.0,100.0,0.0,5.0
d3508464,353.0,65.43909348441926,4.0,3.25
d3389805,32.0,84.375,4.25,4.25
d12691511,1.0,100.0,0.0,5.0
d5862958,0.0,0.0,0.0,0.0
d12395922,1.0,0.0,0.0,0.0
d13075151,11.0,90.9090909090909,0.0,4.5
d1905070,2.0,100.0,3.0,5.0
d8695123,2.0,50.0,3.0,2.5
d2283070,3.0,66.66666666666666,0.0,3.25
d8397457,5.0,60.0,0.0,3.0
d1082219,10.0,80.0,3.0,4.0
d12393437,5.0,100.0,0.0,5.0
d1342721,8.0,62.5,3.5,3.0
d10260499,0.0,0.0,0.0,0.0
d720152,47.0,85.1063829787234,4.25,4.25
d720006,44.0,61.36363636363637,4.0,3.0
d10041649,34.0,52.941176470588246,2.0,2.75
d10275783,23.0,95.65217391304348,2.75,4.75
d7208879,21.0,76.19047619047619,2.5,3.75
d2018218,1072.0,94.9626865671642,4.5,4.75
d12111198,99.0,79.79797979797979,3.0,4.0
d11734174,7.0,85.71428571428571,3.25,4.25
d807268,188.0,77.12765957446808,4.0,3.75
d3494454,9.0,55.555555555555564,2.5,2.75
d6652756,1.0,100.0,0.0,5.0
d10278436,7.0,100.0,3.75,5.0
d7045726,1.0,100.0,0.0,5.0
d8365233,7.0,100.0,3.5,5.0
d9750236,23.0,73.91304347826086,2.5,3.75
d2170318,27.0,88.8888888888889,4.25,4.5
d1657770,122.0,82.78688524590164,4.0,4.25
d9788399,2.0,100.0,0.0,5.0
d4756337,24.0,95.83333333333334,4.0,4.75
d13112281,49.0,89.79591836734693,3.5,4.5
d13125687,1.0,100.0,0.0,5.0
d4007733,176.0,83.52272727272727,4.25,4.25
d11945680,7.0,71.42857142857143,0.0,3.5
d5617497,1.0,100.0,0.0,5.0
d3135457,78.0,83.33333333333334,4.0,4.25
d718634,22.0,36.36363636363637,3.25,1.75
d1449945,76.0,81.57894736842105,3.5,4.0
d7112860,25.0,100.0,3.5,5.0
d3575893,52.0,84.61538461538461,4.0,4.25
d914774,37.0,62.16216216216216,4.0,3.0
d12631429,7.0,100.0,3.25,5.0
d3709146,185.0,89.18918918918921,4.5,4.5
d8338380,5.0,80.0,3.0,4.0
d11737173,0.0,0.0,0.0,0.0
d6350630,52.0,82.69230769230771,4.5,4.25
d13284579,5.0,100.0,0.0,5.0
d4275405,21.0,66.66666666666666,4.0,3.25
d4174123,6.0,100.0,4.25,5.0
d12307808,1.0,0.0,2.5,0.0
d1729490,62.0,80.64516129032258,3.75,4.0
d1389553,54.0,55.555555555555564,3.5,2.75
d3773938,2.0,100.0,4.5,5.0
d11721981,2.0,50.0,0.0,2.5
d5964622,15.0,46.66666666666666,2.0,2.25
d2146131,8.0,75.0,3.75,3.75
d2688423,11.0,81.81818181818183,4.0,4.0
d8778176,2.0,100.0,0.0,5.0
d2238224,21.0,80.95238095238095,3.0,4.0
