City,Cuisine Style,Ranking,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,food,service,value,atmosphere,tr_rating_5,tr_rating_4,tr_rating_3,tr_rating_2,tr_rating_1,tr_ratings,profitrew,ratings_summary,ball
Prague,"['European', 'Czech', 'Eastern European', 'Central European']",1105.0,$$ - $$$,273.0,"[['Good food, beer, value and service', 'Eat underground in a cave'], ['04/18/2017', '03/01/2017']]",/Restaurant_Review-g274707-d1093021-Reviews-U_Zlateho_Lva-Prague_Bohemia.html,d1093021,45.0,40.0,40.0,40.0,81.0,25.0,7.0,6.0,15.0,134.0,79.1044776119403,4.0,4.0
Paris,['French'],12899.0,$,39.0,"[['Very nice food and staff', 'Lovely service and staff!'], ['01/01/2017', '11/12/2016']]",/Restaurant_Review-g187147-d7605609-Reviews-Le_Barouf-Paris_Ile_de_France.html,d7605609,35.0,35.0,35.0,35.0,4.0,6.0,0.0,0.0,2.0,12.0,83.33333333333334,2.5,4.25
Milan,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",1825.0,$$ - $$$,322.0,"[['truly Neapolitan pizza, new/slick location', 'Good pizza but i expected better from this...'], ['06/21/2017', '03/23/2017']]",/Restaurant_Review-g187849-d11850449-Reviews-Pizzeria_Da_Michele_I_Condurro-Milan_Lombardy.html,d11850449,35.0,35.0,30.0,35.0,4.0,4.0,4.0,0.0,1.0,13.0,61.53846153846154,2.5,3.0
London,"['Bar', 'British', 'Pub', 'Vegetarian Friendly', 'Gluten Free Options']",2349.0,$$ - $$$,282.0,"[['Quite a decent pub', 'in the middle of nothing'], ['12/28/2017', '12/12/2017']]",/Restaurant_Review-g186338-d2188276-Reviews-The_Pilot_Inn-London_England.html,d2188276,40.0,40.0,35.0,40.0,126.0,135.0,37.0,23.0,28.0,349.0,74.78510028653295,4.0,3.75
Vienna,,3360.0,,2.0,"[[], []]",/Restaurant_Review-g190454-d8435085-Reviews-Angkor_Club-Vienna.html,d8435085,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,66.66666666666666,0.0,3.25
Dublin,"['Italian', 'Pizza', 'European', 'Gluten Free Options', 'Vegetarian Friendly']",717.0,$$ - $$$,102.0,"[['Local joy', 'Cozy, cute and good food'], ['08/24/2017', '07/20/2017']]",/Restaurant_Review-g186605-d2177920-Reviews-Bianconi_s_Bistro-Dublin_County_Dublin.html,d2177920,45.0,45.0,40.0,40.0,65.0,30.0,8.0,10.0,7.0,120.0,79.16666666666666,4.25,4.0
Barcelona,,6085.0,,8.0,"[[], []]",/Restaurant_Review-g187497-d8334752-Reviews-Restaurante_Laumon-Barcelona_Catalonia.html,d8334752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London,"['Bar', 'Pizza', 'British', 'Vegetarian Friendly', 'Vegan Options']",1769.0,$$ - $$$,68.0,"[['Pizza and Mac & Cheese are on POINT!', 'Great atmosphere and pizza!'], ['12/05/2017', '10/23/2017']]",/Restaurant_Review-g186338-d11749014-Reviews-Tank_Paddle_Minster_Court-London_England.html,d11749014,45.0,45.0,45.0,45.0,90.0,22.0,5.0,4.0,8.0,129.0,86.8217054263566,3.5,4.25
Barcelona,"['Mediterranean', 'Spanish', 'Vegetarian Friendly']",2853.0,$$ - $$$,71.0,"[['Amazing', 'Loved It!!!!'], ['09/24/2017', '07/20/2015']]",/Restaurant_Review-g187497-d1216215-Reviews-La_Llesca_Sant_Andreu-Barcelona_Catalonia.html,d1216215,40.0,40.0,40.0,35.0,8.0,7.0,3.0,1.0,0.0,19.0,78.94736842105263,4.0,4.0
Brussels,"['Italian', 'Mediterranean', 'Pizza']",1255.0,$$ - $$$,51.0,"[['Good pizza in Woluwe', 'Cosy environment'], ['10/09/2017', '06/04/2017']]",/Restaurant_Review-g1136495-d7653791-Reviews-Pinocchio-Woluwe_Saint_Lambert_Brussels.html,d7653791,35.0,35.0,35.0,35.0,2.0,5.0,2.0,1.0,0.0,10.0,70.0,2.5,3.5
Barcelona,"['Spanish', 'Vegetarian Friendly']",1909.0,$,130.0,"[['The cheese sauce is the way.', 'Vegan experience'], ['11/28/2016', '10/28/2016']]",/Restaurant_Review-g187497-d6539478-Reviews-Crum-Barcelona_Catalonia.html,d6539478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madrid,,5828.0,,,"[[], []]",/Restaurant_Review-g187514-d13202032-Reviews-Wan-Madrid.html,d13202032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rome,"['Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",1726.0,$$ - $$$,228.0,"[['Good regional cooking and friendly staff', 'A bit old fahion, but a nice place'], ['05/31/2017', '03/17/2017']]",/Restaurant_Review-g187791-d2061134-Reviews-La_Balestra-Rome_Lazio.html,d2061134,40.0,40.0,40.0,35.0,37.0,16.0,1.0,0.0,3.0,57.0,92.98245614035088,4.0,4.75
Barcelona,"['Mediterranean', 'Spanish']",2283.0,$,18.0,"[['Great time at Balabar', 'Great local tapas bar'], ['01/10/2018', '08/10/2017']]",/Restaurant_Review-g187497-d10133841-Reviews-Balabar-Barcelona_Catalonia.html,d10133841,50.0,50.0,50.0,50.0,6.0,1.0,0.0,0.0,0.0,7.0,100.0,3.75,5.0
Barcelona,,6133.0,,19.0,"[[], []]",/Restaurant_Review-g187497-d5795143-Reviews-La_Bona_Taula_de_Llica-Barcelona_Catalonia.html,d5795143,35.0,35.0,35.0,35.0,5.0,9.0,8.0,1.0,3.0,26.0,53.846153846153854,2.5,2.75
Oslo,"['French', 'European', 'Norwegian', 'Italian', 'Vegetarian Friendly', 'Gluten Free Options']",550.0,$$ - $$$,465.0,"[['Lovely food!', 'Nightmare'], ['02/26/2017', '11/11/2017']]",/Restaurant_Review-g190479-d1495732-Reviews-Mona_Lisa_Ristorante-Oslo_Eastern_Norway.html,d1495732,35.0,35.0,35.0,40.0,61.0,66.0,23.0,25.0,29.0,204.0,62.25490196078432,3.5,3.0
Madrid,['European'],2418.0,$$ - $$$,38.0,"[['Atmosphere and drinks nice', 'Spectacular Views'], ['08/05/2017', '09/30/2017']]",/Restaurant_Review-g187514-d8537746-Reviews-The_Azotea_En_Casa_Decor-Madrid.html,d8537746,30.0,35.0,30.0,35.0,6.0,7.0,2.0,1.0,3.0,19.0,68.42105263157895,2.5,3.5
Paris,,3156.0,,19.0,"[['Very good food'], ['09/24/2017']]",/Restaurant_Review-g187147-d11953078-Reviews-Bistrot_Wattignies-Paris_Ile_de_France.html,d11953078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,5.0
London,"['African', 'Moroccan', 'Middle Eastern', 'Mediterranean', 'Halal', 'Vegetarian Friendly', 'Gluten Free Options']",6233.0,$$ - $$$,244.0,"[['Very tasty food and impeccable service!', 'Wanted to like it more, but too many disap...'], ['12/13/2017', '09/19/2017']]",/Restaurant_Review-g186338-d1018463-Reviews-Souk_Bazaar-London_England.html,d1018463,35.0,35.0,35.0,40.0,512.0,363.0,190.0,136.0,170.0,1371.0,63.82202771699489,3.5,3.25
Milan,['Indian'],3667.0,$$ - $$$,94.0,"[['Nothing special, lazy service', 'Great food'], ['11/01/2016', '05/10/2016']]",/Restaurant_Review-g187849-d3532770-Reviews-Nabab-Milan_Lombardy.html,d3532770,40.0,40.0,40.0,35.0,1.0,3.0,3.0,0.0,0.0,7.0,57.14285714285714,4.0,2.75
Paris,['French'],476.0,$$ - $$$,136.0,"[['Worthy of a trip out of the city centre!', 'Great place!'], ['09/20/2017', '04/30/2017']]",/Restaurant_Review-g187147-d9597870-Reviews-La_Table_Des_Insolents-Paris_Ile_de_France.html,d9597870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paris,['Thai'],7858.0,$,57.0,"[['My go to for great delivery!', 'When you want a taste of Asia in Europe'], ['10/22/2017', '05/22/2017']]",/Restaurant_Review-g187147-d3256188-Reviews-Thai_at_Home_Commerce-Paris_Ile_de_France.html,d3256188,40.0,40.0,40.0,35.0,8.0,1.0,0.0,0.0,0.0,9.0,100.0,4.0,5.0
Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",252.0,$$ - $$$,235.0,"[['Very good spot either to eat or have a dri...', 'Feel like a local'], ['01/10/2018', '12/16/2017']]",/Restaurant_Review-g188590-d2095858-Reviews-De_Duvel-Amsterdam_North_Holland_Province.html,d2095858,45.0,45.0,40.0,45.0,65.0,58.0,11.0,2.0,1.0,137.0,89.7810218978102,4.5,4.5
London,,5279.0,,19.0,"[['Great atmosphere, great food', 'Brunch'], ['01/07/2018', '01/07/2018']]",/Restaurant_Review-g186338-d13234520-Reviews-The_Granary_Brasserie-London_England.html,d13234520,40.0,35.0,35.0,40.0,288.0,148.0,101.0,63.0,50.0,650.0,67.07692307692308,2.75,3.25
Paris,"['French', 'European', 'Vegetarian Friendly']",1722.0,$$ - $$$,572.0,"[['Upstairs Quieter and Pleasant', 'Delicious, but a bit expensive'], ['12/19/2017', '10/22/2017']]",/Restaurant_Review-g187147-d1326624-Reviews-Le_Castiglione-Paris_Ile_de_France.html,d1326624,40.0,40.0,35.0,40.0,170.0,157.0,69.0,31.0,33.0,460.0,71.08695652173913,4.0,3.5
Oslo,,609.0,,2.0,"[['Fantastic, friendly service', 'High quality cozy neighborhood coffee bar'], ['08/24/2017', '02/15/2017']]",/Restaurant_Review-g190479-d12170920-Reviews-Kaffegutta-Oslo_Eastern_Norway.html,d12170920,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
London,"['British', 'Welsh', 'Vegetarian Friendly', 'Gluten Free Options']",1053.0,$$$$,118.0,"[['Do it', 'Anniversary Brunch'], ['12/08/2017', '11/27/2017']]",/Restaurant_Review-g186338-d3339988-Reviews-GWR_Pullman_Dining-London_England.html,d3339988,45.0,50.0,40.0,45.0,199.0,27.0,7.0,7.0,11.0,251.0,90.0398406374502,4.5,4.5
Paris,"['American', 'Steakhouse']",13116.0,$$ - $$$,372.0,"[['Worst experience ever!!', 'Bad everything'], ['01/07/2018', '12/27/2017']]",/Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html,d695231,30.0,30.0,30.0,30.0,18.0,38.0,28.0,20.0,62.0,166.0,33.734939759036145,3.0,1.75
Berlin,,4222.0,,13.0,"[['Great pub', 'Not a friendly pub, but the beer is ok'], ['10/30/2016', '08/26/2016']]",/Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html,d8180306,45.0,45.0,45.0,45.0,3.0,1.0,0.0,1.0,0.0,5.0,80.0,3.5,4.0
Lyon,,2208.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d11959505-Reviews-Jasmin_Tandoori-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d11959505,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,3.0,14.0,57.14285714285714,0.0,2.75
Edinburgh,"['Seafood', 'European', 'British', 'Soups', 'Scottish', 'Vegetarian Friendly', 'Gluten Free Options']",266.0,$$$$,4567.0,"[['Come for the wine more than the food', 'Desserts make this 4*'], ['01/11/2018', '01/05/2018']]",/Restaurant_Review-g186525-d720945-Reviews-The_Witchery_by_the_Castle-Edinburgh_Scotland.html,d720945,40.0,40.0,35.0,45.0,2667.0,1122.0,899.0,506.0,268.0,5462.0,69.37019406810691,4.0,3.5
Paris,['French'],12709.0,$$ - $$$,49.0,"[['Touristy Cafe - Expensive', 'Much Better than Expected'], ['10/16/2016', '06/14/2016']]",/Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html,d1439340,25.0,30.0,20.0,30.0,6.0,4.0,5.0,1.0,7.0,23.0,43.47826086956522,2.5,2.25
Paris,"['French', 'African']",10412.0,,12.0,"[[], []]",/Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html,d4988279,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,2.0,14.0,78.57142857142857,0.0,4.0
Paris,"['French', 'Fusion']",3859.0,$$ - $$$,144.0,"[['Good food', 'complete satisfaction'], ['11/09/2016', '01/31/2015']]",/Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html,d1336377,30.0,35.0,30.0,30.0,1.0,1.0,0.0,0.0,2.0,4.0,50.0,3.0,2.5
Athens,['Greek'],1077.0,,3.0,"[['Thomas'], ['01/06/2016']]",/Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html,d8747125,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,5.0
London,"['Moroccan', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']",3777.0,$$ - $$$,788.0,"[['Best for: North African food with an atmos...', 'Souk Medina - for an Authentic Turkish Mea...'], ['01/02/2018', '12/29/2017']]",/Restaurant_Review-g186338-d737345-Reviews-Souk_Medina-London_England.html,d737345,35.0,35.0,35.0,40.0,512.0,363.0,190.0,136.0,170.0,1371.0,63.82202771699489,3.5,3.25
Budapest,"['Italian', 'Pizza', 'Street Food']",1983.0,$,7.0,"[['The best in Budapest so far'], ['03/05/2017']]",/Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html,d10788740,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.5
Warsaw,,817.0,,10.0,"[['Cozy and cute, good selection of beer, nic...', 'Very cozy place and good food!'], ['04/19/2017', '10/23/2016']]",/Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html,d9561771,45.0,45.0,45.0,45.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,3.5,5.0
Budapest,"['Hungarian', 'Cafe']",1731.0,$$ - $$$,17.0,"[['Nice cafe', 'special cakes'], ['07/01/2016', '11/03/2015']]",/Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html,d8262476,0.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0,12.0,66.66666666666666,0.0,3.25
Prague,,2095.0,,,"[[], []]",/Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html,d7124128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Lyon,"['French', 'Mediterranean']",966.0,$$ - $$$,20.0,"[[], []]",/Restaurant_Review-g187265-d12006420-Reviews-Les_Mangeurs_de_Toiles-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d12006420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madrid,,6819.0,,10.0,"[['Coffee was fine - and as it says low price'], ['04/21/2017']]",/Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html,d11633790,35.0,30.0,35.0,35.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,2.5,5.0
London,"['Indian', 'Asian']",13559.0,$$ - $$$,13.0,"[['Dinner', ""Mum's 80th Birthday Surprise Lunch""], ['05/24/2017', '06/28/2016']]",/Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html,d4919094,25.0,25.0,25.0,25.0,7.0,2.0,2.0,2.0,9.0,22.0,40.90909090909091,2.0,2.0
London,"['British', 'Vegetarian Friendly']",5315.0,$$ - $$$,44.0,"[['Nice lunch spot', 'Great team lunch'], ['12/22/2017', '11/06/2017']]",/Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html,d11867015,40.0,40.0,35.0,40.0,65.0,28.0,16.0,9.0,14.0,132.0,70.45454545454545,3.0,3.5
Barcelona,['Mediterranean'],5164.0,,14.0,"[[], []]",/Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html,d3672020,45.0,45.0,45.0,45.0,11.0,2.0,1.0,0.0,0.0,14.0,92.85714285714286,4.5,4.75
Lyon,,1819.0,,5.0,"[[], []]",/Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d8448700,40.0,40.0,40.0,40.0,0.0,5.0,0.0,0.0,0.0,5.0,100.0,3.0,5.0
Bratislava,"['European', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",14.0,$$ - $$$,646.0,"[['Magnificent quirky cocktails', 'Afternoon Cocktails'], ['02/20/2018', '02/13/2018']]",/Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html,d1804870,40.0,45.0,40.0,45.0,315.0,179.0,66.0,26.0,19.0,605.0,81.65289256198345,4.25,4.0
Barcelona,"['Mediterranean', 'Spanish', 'Wine Bar', 'Seafood']",1826.0,$$ - $$$,28.0,"[['Great stop', 'Superb tapas!'], ['10/22/2017', '05/06/2017']]",/Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html,d11855366,45.0,45.0,45.0,45.0,19.0,4.0,3.0,0.0,1.0,27.0,85.18518518518519,3.5,4.25
Budapest,"['European', 'Central European', 'Hungarian']",872.0,$,23.0,"[['Fantastic little hidden place', 'Very delicious food in the citycenter'], ['12/14/2017', '10/16/2017']]",/Restaurant_Review-g274887-d7249260-Reviews-Mensa_Andreas-Budapest_Central_Hungary.html,d7249260,40.0,45.0,40.0,45.0,23.0,8.0,1.0,1.0,0.0,33.0,93.93939393939394,3.0,4.75
Barcelona,,4730.0,,14.0,"[['Elegant yet approachable'], ['05/23/2015']]",/Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html,d5776216,35.0,45.0,40.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,5.0
London,"['Bar', 'Pub']",6672.0,$$ - $$$,19.0,"[['Worth a visit for fish n chips!', 'Such a nice atmosphere'], ['11/03/2017', '10/08/2017']]",/Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html,d10147127,40.0,40.0,40.0,40.0,26.0,8.0,3.0,2.0,5.0,44.0,77.27272727272727,3.0,3.75
Vienna,,2846.0,,3.0,"[[], []]",/Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html,d11769083,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,50.0,0.0,2.5
Oporto,,878.0,,7.0,"[[], []]",/Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html,d11667248,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,8.0,87.5,0.0,4.5
Paris,"['American', 'Barbecue']",225.0,$$ - $$$,215.0,"[['A little piece of Texas in Paris.', 'Excellent meal'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g187147-d11857524-Reviews-Melt-Paris_Ile_de_France.html,d11857524,45.0,45.0,40.0,45.0,58.0,10.0,6.0,3.0,1.0,78.0,87.1794871794872,3.25,4.25
Berlin,['Cafe'],3830.0,$,17.0,"[['Great Sumatera coffee serve here', 'Superb coffee'], ['03/01/2017', '01/06/2017']]",/Restaurant_Review-g187323-d10822625-Reviews-Peaberries_Cafe-Berlin.html,d10822625,50.0,50.0,45.0,50.0,5.0,1.0,0.0,0.0,0.0,6.0,100.0,3.5,5.0
Paris,"['French', 'European']",2325.0,$$ - $$$,126.0,"[['Local place for a local atmosphere', 'Highly recommended'], ['10/29/2017', '11/11/2017']]",/Restaurant_Review-g187147-d5952715-Reviews-Les_Garnements_Bistro_Resto-Paris_Ile_de_France.html,d5952715,40.0,40.0,40.0,40.0,23.0,3.0,3.0,0.0,0.0,29.0,89.65517241379311,4.0,4.5
Milan,,6091.0,,13.0,"[['great stop for a quck and tasty bite', 'Nice but pricey'], ['04/08/2016', '11/20/2015']]",/Restaurant_Review-g187849-d8338351-Reviews-Caffett_Dante-Milan_Lombardy.html,d8338351,30.0,25.0,20.0,25.0,1.0,0.0,3.0,1.0,3.0,8.0,12.5,2.0,0.5
London,['Cafe'],7458.0,$,11.0,"[['Great little cafe', 'Nice Cafe definitely improved'], ['11/08/2017', '08/20/2017']]",/Restaurant_Review-g186338-d12064491-Reviews-The_Rookery_Cafe-London_England.html,d12064491,35.0,35.0,35.0,35.0,7.0,11.0,9.0,5.0,3.0,35.0,51.42857142857142,2.5,2.5
Hamburg,,885.0,,22.0,"[['Most creative breakfast in Hamburg', 'cozy atmoshere for breakfast'], ['08/14/2017', '04/11/2017']]",/Restaurant_Review-g187331-d8352929-Reviews-Kraweel-Hamburg.html,d8352929,40.0,35.0,45.0,40.0,3.0,2.0,3.0,0.0,1.0,9.0,55.555555555555564,3.0,2.75
London,['British'],8403.0,$$ - $$$,26.0,"[['Great beers and quality pies', 'Lovely old city pub'], ['12/17/2017', '09/18/2017']]",/Restaurant_Review-g186338-d3625426-Reviews-Williamson_s_Tavern-London_England.html,d3625426,40.0,40.0,40.0,40.0,47.0,28.0,14.0,9.0,3.0,101.0,74.25742574257426,4.0,3.75
Prague,"['Cafe', 'European', 'Czech']",2052.0,$,,"[[""Nova' Doba""], ['01/26/2017']]",/Restaurant_Review-g274707-d12032989-Reviews-Cafe_Nova_doba-Prague_Bohemia.html,d12032989,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,5.0
London,"['Mediterranean', 'Bar', 'Pizza', 'European', 'Vegetarian Friendly']",3146.0,$$ - $$$,158.0,"[['Good choice for local dinner', 'Perfect for a Christmas catch up'], ['12/20/2017', '12/12/2017']]",/Restaurant_Review-g186338-d3507877-Reviews-The_Bird_In_Hand-London_England.html,d3507877,40.0,40.0,40.0,45.0,79.0,61.0,19.0,14.0,9.0,182.0,76.92307692307693,4.0,3.75
Paris,,10397.0,,12.0,"[['Nice place but...', 'Best arrival lunch'], ['09/04/2013', '12/07/2012']]",/Restaurant_Review-g187147-d719850-Reviews-Prosper-Paris_Ile_de_France.html,d719850,35.0,35.0,40.0,40.0,1.0,1.0,1.0,0.0,0.0,3.0,66.66666666666666,3.75,3.25
